ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_m3m-3,Va_cm3g-1,C2H6_Hen,C2H6_Qst,C2H4_Hen,C2H4_Qst,C2H6_Ds,C2H4_Ds,C2H6_P0,C2H4_P0,C2H6_P0_barrer,C2H4_P0_barrer,Sads_C2H6_C2H4,Sads_C2H4_C2H6,Sdiff_C2H4_C2H6,Sperm_C2H6_C2H4,Sperm_C2H4_C2H6
2049,MN8309,11475.2002,0.80337,6.93744,9.1503,2200.3501,2738.8999,0.71543,0.89054,2.506e-05,14.982349,1.865e-05,16.681216,8.773e-09,1.132e-08,1.7662200315060002e-10,1.6960586766e-10,528808.3926664672,507801.99898203596,1.3436997319034854,0.7442138866719872,1.2903225806451613,1.0413672922252013,0.9602759828025639
2381,MM537,19374.0,0.72258,6.27412,8.93796,2110.63,2920.97,0.70774,0.97946,4.42e-05,17.1697,3.36e-05,18.629832,9.77e-09,1.229e-08,3.1203461172000004e-10,2.9838507552e-10,934235.364431138,893368.4895808384,1.3154761904761905,0.7601809954751131,1.2579324462640735,1.045744701460731,0.9562563392414675
149,MN10976,7979.08984,1.03201,5.41021,6.94537,1581.47998,1532.43005,0.6489,0.62877,2.36e-05,11.780324,2.367e-05,17.779868,8.005e-09,7.623e-09,1.9496526518e-10,1.8621217948409998e-10,583728.3388622756,557521.4954613772,0.9970426700464724,1.0029661016949152,0.9522798251093068,1.0470059784496935,0.9551043839125967
1722,MN7194,20766.0,0.59501,6.96762,10.79267,2276.90991,3826.66992,0.7718,1.29712,1.814e-05,13.995442,1.38e-05,15.044772,1.241e-08,1.557e-08,1.33947104174e-10,1.2784741866e-10,401039.23405389226,382776.70257485035,1.3144927536231883,0.7607497243660419,1.2546333601933923,1.047710666182644,0.9544619829475642
2486,MM9621,18430.4,0.54434,7.96482,10.31769,2291.46,4209.59,0.7728,1.41969,1.73e-05,15.5003,1.219e-05,14.769591,1.33e-08,1.795e-08,1.252471906e-10,1.1910730757e-10,374991.58862275456,356608.70529940125,1.4191960623461854,0.7046242774566474,1.3496240601503757,1.051549171543413,0.9509778782215654
1973,MN8050,16906.0996,0.73004,5.69318,9.10315,2234.62012,3060.95996,0.72506,0.99318,2.066e-05,15.673354,1.601e-05,16.570291,8.674e-09,1.063e-08,1.3082670139360002e-10,1.2424280645200003e-10,391696.71075928153,371984.45045509,1.2904434728294814,0.7749273959341724,1.2255014987318422,1.0529921621188072,0.9496746851256921
998,MN52266,8315.19043,0.5841,6.21211,10.0427,2236.62012,3829.1499,0.75456,1.29182,3.599e-05,16.524664,2.783e-05,17.394156,1.093e-08,1.341e-08,2.2976782586999996e-10,2.1798629522999995e-10,687927.6223652695,652653.5785329341,1.2932087675170678,0.7732703528757988,1.2268984446477587,1.054047116253658,0.9487241932355408
995,MN52253,8821.7998,0.47233,7.11073,10.83499,2205.47998,4669.41016,0.77466,1.6401,3.375e-05,14.405187,2.581e-05,15.810826,1.984e-08,2.461e-08,3.1627216800000005e-10,3.00016505953e-10,946922.658682635,898253.0118353295,1.3076327005036807,0.7647407407407407,1.2404233870967742,1.054182559040757,0.9486022998805255
2282,MM26302,5684.0,0.84022,4.41725,7.82389,1885.0,2243.45,0.68091,0.81039,3.33e-05,12.2987,2.84e-05,18.062975,7.26e-09,8.072e-09,2.0312990676e-10,1.9261606585599997e-10,608173.3735329342,576694.8079520958,1.1725352112676057,0.8528528528528527,1.1118457300275482,1.0545844442273067,0.9482408027862571
309,MN11571,11894.0,0.86559,6.91373,8.46334,1924.42004,2223.23999,0.68951,0.79657,2.33e-05,14.170531,2.003e-05,16.90633,8.951e-09,9.871e-09,1.80525978897e-10,1.7114110496669998e-10,540496.9428053893,512398.5178643713,1.163255117324014,0.859656652360515,1.1027818120880348,1.0548370535069649,0.9480137208636625
